,Digi-Key Part Number,Manufacturer Part Number,Inductance,Tolerance,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Supplier Device Package,
(,732-6182-1-ND,744316470,4.7µH,±20%,4.6A,4.7A,24.5mOhm Max,57MHz,5040,"),"
(,732-3881-1-ND,7443551331,33µH,±20%,5.5A,5.5A,30.5mOhm,11MHz,1365,"),"
(,732-1139-1-ND,7443551111,11.3µH,±20%,11A,9.5A,9.1mOhm,12MHz,1365,"),"
(,732-1141-1-ND,7443551151,15.4µH,±20%,9A,8A,14.8mOhm,15MHz,1365,"),"
(,732-1125-1-ND,7443551200,2µH,±20%,23A,22A,2.6mOhm,45MHz,1365,"),"
(,732-1137-1-ND,7443551730,7.3µH,±20%,13A,12A,5.9mOhm,28MHz,1365,"),"
(,732-2183-1-ND,7443551221,22µH,±20%,6A,6.5A,24.7mOhm,14MHz,1365,"),"
(,732-3880-1-ND,7443551181,18µH,±20%,7.5A,7.5A,22mOhm,16MHz,1365,"),"
(,732-1151-1-ND,744311220,2.2µH,±20%,9A,13A,11.4mOhm,52MHz,7040,"),"
(,732-1153-1-ND,744311470,4.7µH,±20%,6A,7A,19.5mOhm,33MHz,7040,"),"
(,732-1152-1-ND,744311330,3.3µH,±20%,6.5A,11A,17.2mOhm,43MHz,7040,"),"
(,732-1162-1-ND,744314650,6.5µH,±20%,6A,6A,21.5mOhm,50MHz,7050,"),"
(,732-2180-1-ND,744314101,10µH,±20%,3.5A,4A,33mOhm,40MHz,7050,"),"
(,732-1157-1-ND,744314110,1.1µH,±20%,15A,13A,3.15mOhm,135MHz,7050,"),"
(,732-1160-1-ND,744314330,3.3µH,±20%,9A,8A,9mOhm,65MHz,7050,"),"
(,732-2182-1-ND,744314850,8.5µH,±20%,4A,4.5A,32.5mOhm,44MHz,7050,"),"
(,732-4179-1-ND,7443251000,10µH,±20%,7.2A,8.5A,16.3mOhm,21MHz,1050,"),"
(,732-2174-1-ND,7443556680,6.8µH,±20%,18.5A,27A,4.1mOhm,24MHz,1890,"),"
(,732-2167-1-ND,74435561100,10µH,±20%,15A,21.5A,6.9mOhm,14MHz,1890,"),"
(,732-2177-1-ND,74435572200,22µH,±20%,11A,11A,14.6mOhm,10.5MHz,1890,"),"
(,732-2178-1-ND,74435573300,33µH,±20%,8.5A,9A,21.7mOhm,9.5MHz,1890,"),"
(,732-2179-1-ND,74435574700,47µH,±20%,6.8A,7A,33.5mOhm,7.5MHz,1890,"),"
(,732-3799-1-ND,7443557560,5.6µH,±20%,25A,27A,2.82mOhm,26MHz,1890,"),"
(,732-2176-1-ND,74435571500,15µH,±20%,14A,14A,9mOhm,14MHz,1890,"),"
(,732-3801-1-ND,7443557760,7.6µH,±20%,20A,20.5A,3.75mOhm,20MHz,1890,"),"
(,732-4237-1-ND,74435582200,22µH,±20%,15A,18A,7mOhm,8.3MHz,2212,"),"
(,732-4235-1-ND,74435581000,10µH,±20%,21A,26A,3.4mOhm,15MHz,2212,"),"
(,732-4233-1-ND,74435580680,6.8µH,±20%,28.5A,31A,2.1mOhm,18MHz,2212,"),"
(,732-1138-1-ND,7443551920,9.2µH,±20%,12A,10.5A,7.8mOhm,26MHz,1365,"),"
(,732-1127-1-ND,7443551370,3.7µH,±20%,17A,16A,4.9mOhm,26MHz,1365,"),"
(,732-2184-1-ND,7443550820,8.2µH,±20%,10A,11A,11.6mOhm,20MHz,1350,"),"
(,732-1169-1-ND,744325330,3.3µH,±20%,12A,15A,5.9mOhm,54MHz,1050,"),"
(,732-1171-1-ND,744325550,5.5µH,±20%,10A,12A,10.3mOhm,30MHz,1050,"),"
(,732-3877-1-ND,744325650,6.5µH,±20%,8.4A,10A,12.5mOhm,27MHz,1050,"),"
(,732-2173-1-ND,7443556560,5.6µH,±20%,19A,33A,3.7mOhm,28MHz,1890,"),"
(,732-2168-1-ND,7443556130,1.3µH,±20%,34.5A,62A,0.94mOhm,78MHz,1890,"),"
(,732-2170-1-ND,7443556260,2.6µH,±20%,31.5A,50A,1.58mOhm,42MHz,1890,"),"
(,732-2172-1-ND,7443556450,4.5µH,±20%,20.5A,37A,3.4mOhm,35MHz,1890,"),"
(,732-4239-1-ND,74435584700,47µH,±20%,9A,12A,19.2mOhm,6.1MHz,2212,"),"
(,732-4240-1-ND,74435586800,68µH,±20%,7.5A,9.5A,27.3mOhm,5MHz,2212,"),"
(,732-4241-1-ND,74435588200,82µH,±20%,7A,8.5A,30.4mOhm,4.4MHz,2212,"),"
(,732-4234-1-ND,74435580820,8.2µH,±20%,25.5A,30A,2.7mOhm,17MHz,2212,"),"
(,732-4238-1-ND,74435583300,33µH,±20%,11.5A,15A,13.2mOhm,6.8MHz,2212,"),"
(,732-1147-1-ND,744310115,1.15µH,±20%,8.5A,13A,8.6mOhm,84MHz,7030,"),"
(,732-2171-1-ND,7443556350,3.5µH,±20%,22.5A,37A,3.1mOhm,38MHz,1890,"),"
(,732-1146-1-ND,744310095,950nH,±20%,11A,13A,6.2mOhm,90MHz,7030,"),"
(,732-6176-1-ND,744316100,1µH,±20%,11.5A,11.5A,4.75mOhm,158MHz,5040,"),"
(,732-6179-1-ND,744316220,2.2µH,±20%,7.5A,7.5A,11.3mOhm,108MHz,5040,"),"
(,732-6180-1-ND,744316330,3.3µH,±20%,5.75A,5.8A,18.5mOhm,66MHz,5040,"),"
